100
200
10 30 10 10 10 20 20 20 10 10 10 20 30 10 40 40 20 20 10 10 20 20 10 10 40 10 10 20 10 10 20 30 40 20 10 10 20 30 20 10 10 20 10 10 10 30 10 10 10 10 10 10 20 40 10 30 40 30 10 20 10 20 50 10 10 10 10 10 10 30 20 10 10 50 20 10 10 20 10 10 30 20 10 20 30 10 20 30 10 10 10 20 40 10 30 10 30 20 10 20 
0   18.68   20.61   16.12   18.11   15.13   19   16   18.11   20.09   16.76   19.64   38.07   30.8   39.35   36.05   40.31   33.3   35.35   39.05   10   10.19   12.16   13   15   15.13   15.81   17.11   17.72   20   20.61   33.54   31.62   33.52   32.38   38.07   35.35   39.29   41.23   40.31   20.61   18.68   19.31   16.55   21.54   22.36   20.59   18.02   23.32   19.2   22.8   25   21.21   45.17   40.04   35.05   45   35   45.04   35.05   45.27   22.36   18.02   14.14   21.54   12.8   16.55   12.2   20.61   15.81   58.52   57   23.85   55.71   19.84   15.81   52.2   52   50.28   51.07   51.47   47.43   35.35   32.38   31.04   29.73   26.47   25.49   26.92   24.35   20.61   22.36   44.2   43.01   40.6   37.2   36.05   40.31   30.8   33.54   38.07   
18.68   0   2   3.6   3   4.24   5.09   5.38   7   7.28   10.19   10.04   26.24   24.04   28.6   27.73   30.23   27.89   30.8   32.31   23.43   21.93   23.34   21.4   26.9   25.61   23.85   27.2   25.55   30.8   28.17   48.1   44.82   46.4   43.56   51.85   46.14   51.31   53   50.53   39.29   37.36   37.94   35.11   40.16   40.85   39   36.24   41.62   37.12   40.7   42.94   38.58   63   58.07   53.08   63.19   53.23   63.38   53.46   63.78   38.32   33.37   28.44   38.11   28.16   33.06   28.07   38   33   62.8   59.9   38.83   60.44   33.95   3   55.8   57.38   54.2   56.63   58.72   51.85   32.69   29.96   26.92   24.35   24.69   23.85   21.54   20.59   19.84   17   27.8   26.24   24.41   20.8   19.2   22.67   14.76   15.62   19.72   
20.61   2   0   5   3.6   5.83   5.09   6.4   7.28   7   10.77   10.04   25   23.53   27.45   26.92   29.15   27.45   30.41   31.62   25   23.43   24.75   22.67   28.28   26.9   25   28.42   26.62   32.01   29.15   49.49   46.09   47.63   44.65   53.15   47.16   52.43   54.08   51.47   41.23   39.29   39.84   37   42.05   42.72   40.85   38.07   43.46   38.91   42.48   44.72   40.31   65   60.07   55.08   65.19   55.22   65.37   55.44   65.76   40.31   35.35   30.41   40.11   30.14   35.05   30.06   40   35   64.03   61.03   40.79   61.71   35.9   5   57   58.72   55.44   58   60.2   53.15   33.54   30.88   27.73   25.07   25.8   25   22.36   21.63   21.21   18.02   26.62   25   23.32   19.72   18.02   21.21   13.92   14.14   18.02   
16.12   3.6   5   0   2   1   3.6   2   4.47   5.65   7   7.61   25.49   21.93   27.58   26.07   29.06   25.63   28.46   30.41   20   18.43   19.79   17.8   23.34   22.02   20.24   23.6   21.95   27.2   24.59   44.55   41.23   42.8   39.96   48.27   42.54   47.7   49.39   46.95   36.67   34.71   35.17   32.28   37.36   37.94   36.05   33.24   38.62   34.01   37.57   39.81   35.35   61.03   56   51   61.03   51.03   61.13   51.15   61.4   36.87   32.01   27.2   36.49   26.68   31.4   26.47   36.12   31.14   64.07   61.4   37.64   61.61   32.89   3.16   57.14   58.41   55.47   57.62   59.41   53   34.78   31.95   29.12   26.68   26.4   25.49   23.76   22.47   21.09   18.97   31.4   29.83   28.01   24.41   22.8   26.17   18.35   19.1   23.02   
18.11   3   3.6   2   0   3   2.23   2.82   4   4.47   7.28   7.07   24.04   21.18   26.24   25.05   27.8   25   27.89   29.54   21.63   20   21.26   19.1   24.75   23.34   21.4   24.83   23.02   28.42   25.55   45.96   42.52   44.04   41.04   49.57   43.56   48.82   50.47   47.88   38.63   36.67   37.1   34.2   39.29   39.84   37.94   35.11   40.49   35.84   39.39   41.62   37.12   63.03   58   53   63.03   53.03   63.12   53.15   63.38   38.83   33.95   29.12   38.47   28.63   33.37   28.44   38.11   33.13   65.21   62.43   39.56   62.8   34.78   4.24   58.24   59.66   56.61   58.89   60.81   54.2   35.46   32.69   29.73   27.2   27.29   26.41   24.35   23.25   22.2   19.69   30.23   28.6   26.92   23.32   21.63   24.75   17.46   17.69   21.4   
15.13   4.24   5.83   1   3   0   4.47   2.23   5   6.4   7.07   8.06   26.24   22.36   28.28   26.62   29.73   26   28.79   30.88   19.2   17.69   19.1   17.2   22.67   21.4   19.72   23.02   21.47   26.62   24.16   43.86   40.6   42.2   39.44   47.63   42.05   47.16   48.87   46.51   35.69   33.73   34.2   31.32   36.4   37   35.11   32.31   37.69   33.1   36.67   38.91   34.48   60.03   55   50   60.03   50.03   60.13   50.15   60.4   35.9   31.04   26.24   35.51   25.7   30.41   25.49   35.12   30.14   63.51   60.9   36.68   61.03   31.95   3   56.6   57.8   54.91   57   58.72   52.43   34.48   31.62   28.86   26.47   26   25.07   23.53   22.13   20.59   18.68   32.01   30.47   28.6   25   23.43   26.9   18.86   19.84   23.85   
19   5.09   5.09   3.6   2.23   4.47   0   3   2.23   2.23   5.83   5   21.93   18.97   24.08   22.82   25.61   22.8   25.7   27.31   21.47   19.72   20.8   18.43   24.2   22.67   20.51   24.04   22.02   27.58   24.41   45.34   41.72   43.18   40   48.79   42.43   47.8   49.4   46.64   39.31   37.33   37.65   34.71   39.81   40.26   38.32   35.44   40.8   36.05   39.56   41.78   37.16   64.12   59.03   54.03   64   54   64.03   54.03   64.19   40.26   35.44   30.67   39.81   30.08   34.71   29.83   39.31   34.36   67.42   64.66   41.1   65   36.4   6.4   60.46   61.84   58.82   61.07   62.93   56.4   37.69   34.92   31.95   29.41   29.52   28.65   26.57   25.49   24.41   21.93   31.38   29.68   28.17   24.59   22.82   25.61   18.97   18.6   21.93   
16   5.38   6.4   2   2.82   2.23   3   0   2.82   4.47   5   5.83   24.2   20.12   26.17   24.41   27.58   23.76   26.57   28.65   18.86   17.2   18.43   16.27   21.93   20.51   18.6   22.02   20.24   25.61   22.82   43.13   39.69   41.23   38.27   46.75   40.81   46.04   47.7   45.17   36.34   34.36   34.71   31.78   36.87   37.36   35.44   32.57   37.94   33.24   36.76   39   34.43   61.13   56.03   51.03   61   51   61.03   51.03   61.2   37.36   32.57   27.85   36.87   27.2   31.78   26.92   36.34   31.4   65.73   63.13   38.27   63.24   33.61   5.09   58.83   60   57.14   59.2   60.87   54.64   36.68   33.83   31.04   28.63   28.23   27.31   25.7   24.35   22.82   20.88   33.01   31.4   29.68   26.07   24.41   27.58   20.12   20.51   24.2   
18.11   7   7.28   4.47   4   5   2.23   2.82   0   2   3.6   3.16   21.4   17.46   23.34   21.63   24.75   21.18   24.04   25.94   19.69   17.88   18.86   16.4   22.2   20.61   18.38   21.93   19.84   25.45   22.2   43.27   39.59   41.03   37.8   46.66   40.22   45.6   47.2   44.41   38.11   36.12   36.34   33.37   38.47   38.83   36.87   33.95   39.29   34.48   37.94   40.16   35.46   63.28   58.13   53.15   63.03   53.03   63   53   63.07   39.84   35.11   30.46   39.29   29.73   34.2   29.41   38.63   33.73   68.5   65.86   40.85   66.03   36.24   7.61   61.58   62.8   59.9   62   63.7   57.42   39.21   36.4   33.52   31.04   30.87   29.96   28.16   26.92   25.55   23.4   33.61   31.9   30.41   26.83   25.05   27.8   21.18   20.8   24.04   
20.09   7.28   7   5.65   4.47   6.4   2.23   4.47   2   0   5   3.16   19.84   16.76   21.93   20.59   23.43   20.61   23.53   25.07   21.54   19.69   20.59   18.02   23.85   22.2   19.84   23.43   21.21   26.9   23.43   44.82   41.03   42.42   39.05   48.1   41.4   46.86   48.41   45.48   40.11   38.11   38.32   35.35   40.44   40.79   38.83   35.9   41.23   36.4   39.84   42.05   37.33   65.27   60.13   55.14   65.03   55.03   65   55   65.06   41.76   37   32.31   41.23   31.62   36.13   31.32   40.6   35.69   69.63   66.88   42.72   67.2   38.07   8.6   62.68   64.03   61.03   63.25   65.06   58.6   39.92   37.16   34.17   31.62   31.76   30.88   28.79   27.73   26.62   24.16   32.64   30.88   29.54   26   24.16   26.62   20.61   19.72   22.67   
